"name_mapgovpoint";"addr_mapgovpoint";"gps_lat";"gps_long"
"Kantor Bupati";"Jalan Tegar Beriman, Kelurahan Tengah";"-6.478846";"106.824738"
"Kantor Camat Cibinong";"Jl. Kayu Manis No.30 Kelurahan Cirimekar, Kecamatan Cibinong, Kabupaten Bogor, Telp: (021) 8753879 FAX: (021) 8753879, email : kecibinong@bogorkab.go.id";"-6.473271";"106.853688"
"Kantor Camat Gunung Putri";"Jl. Barokah, Wanaherang, Gunung Putri, Bogor 16965, Telepon: (021) 8672122";"-6.423838";"106.940441"
"Kantor Camat Citeureup";"Jln. Mayor Oking Jayaatmaja No 107 Citeureup, Bogor 16810, Telp/ Fax : (021) 875 23 12, Email: kecciteureup@bogorkab.go.id";"-6.486906";"106.878721"
"Kantor Camat Sukaraja";"JL Dharmais, Cimandala, Sukaraja, Bogor 16710, Telp: (0251) 8652476";"-6.538937";"106.822428"
"Kantor Camat Babakan Madang";"Jl. Raya Babakan Madang No. 4, Telp/Fax : 021-87951920, email : kecbabakanmadang@bogorkab.go.id";"-6.570999";"106.865713"
"Kantor Camat Jonggol";"Jl. Raya Alun-Alun Utara No.7, Jonggol, Bogor 16830, Telp: (021) 89931171";"-6.467843";"107.066056"
"Kantor Camat Cileungsi";"Komplek Perumahan Metland Transyogi Jl. Gandaria Utara No. 1, Telp. / Faks  : (021) 8230085, email: keccileungsi@bogorkab.go.id";"-6.394571";"106.977392"
"Kantor Camat Cariu";"Jl. Brigjen Dharsono No.01 Cariu Kabupaten Bogor Kode Pos. 16840, Telp. (021) 89960904, email  keccariu@bogorkab.go.id";"-6.503854";"107.133084"
"Kantor Camat Sukamakmur";"Jln. Raya Sukamakmur No. 1 Kec. Sukamakmur Kabupaten Bogor 16830, email : kecsukamakmur@bogorkab.go.id";"-6.565829";"106.994981"
"Kantor Camat Parung";"Jl. Raden Demang Arya, Desa Waru Jaya, Kecamatan Parung, Kabupaten Bogor 16330, Telp: 0251-8611088, Email : kecparung@bogorkab.go.id";"-6.420047";"106.732847"
"Kantor Camat Gunung Sindur";"Jl.Atma Asmawi NO. 58 Gunungsindur, Telp. 021-7562152, email : kecamatangunungsindur@bogorkab.go.id";"-6.385779";"106.675057"
"Kantor Camat Kemang";"Jl. Raya Kemang Kiara No. 57 - 16310, Telp / Fax : (0251) 7535154";"-6.513809";"106.754521"
